model_name,R2,RMSE,MAE,MSE,params,epochs_trained,R2_drop,R2_drop_pct
Full HFENN,0.7897571276195207,0.13659545938696302,0.10673950077881998,0.018658319525135466,115873,50,0.0,0.0
No Attention,0.5993239609945998,0.18856987287448918,0.1481373092401296,0.03555859695590101,94753,50,0.19043316662492082,24.112877233399953
No Manual Features,0.6845701414570714,0.1673119739243209,0.12929590244544678,0.02799329661845264,106177,50,0.10518698616244926,13.318903050549602
No Wavelet,0.8132500974890701,0.1287377202849451,0.10022845178924267,0.016573400624164764,17793,50,-0.023492969869549407,-2.9747081790020333
Pulse Only,0.8110536437466224,0.1294925797524128,0.09897027437774136,0.01676832821093499,67393,50,-0.021296516127101706,-2.696590557060686
Fatigue Only,0.7814069909192326,0.13928160305559562,0.10604379345253938,0.019399364949736504,67393,50,0.008350136700288058,1.0573043798233224
