mean,difference
0.46731685773033627,0.42490194589890495
0.27369051464576066,0.04459820763624789
0.7805539553584266,-0.1050588716622971
0.947130076378899,0.07620678800407488
0.5133545993062217,0.13078975643562463
0.09990253340141257,-0.09266941168037493
0.9035131864623034,0.18799720861033675
0.49685082014836923,-0.001199063133437317
0.4901775141859169,-0.1072751243304978
0.16257415727768942,0.004014551957341128
0.2002470754664463,0.10728906851635817
0.8440379694223028,-0.1605670064450061
0.8220246707850334,-0.006582920659852776
0.4495739410674183,-0.6103442767549339
0.6731050276349413,-0.11017245777638207
0.6341391421284749,0.00015477675725494855
0.9381208505896412,0.07586194806648949
0.13699198947053712,0.021455132677188737
0.5632875458622824,-0.020119449252913424
0.4994661479403627,-0.11087149993378875
0.8480893186470642,-0.0748081581312866
0.6400989372985444,0.14745451598502834
0.7598821438060201,0.028150422713358658
0.541758363111769,0.2582066151777005
0.7282725580706053,-0.026056526467432062
0.7841812108462547,-0.029732041655879282
0.3685761641838008,0.08355252968824978
0.36971945105040516,-0.11090927247118071
0.8137323572513129,-0.11920958473748655
0.6195255890232974,0.061025693961511696
0.8802458844932854,-0.03647216114343399
0.22606885362295565,0.01377248622235172
0.171228059554199,0.07243074660321
0.37349165469567525,0.010503311756462741
0.2180493532903467,0.010239076472813774
0.1760205995331069,-0.0026777245025118024
0.5298672625486656,0.2509068864712326
0.09831270406530174,-0.06609759072689468
0.2981308632253783,0.09300635917170391
0.11067760221363329,-0.015670592939829378
0.7602600948237339,0.35183761442163775
0.6194643801621217,0.025928224359277552
0.1525749604340194,0.05480448214924302
0.12392085165373233,-0.07825524865405267
0.5543037278430027,-0.0919620547738943
0.582028775172635,-0.05508929737964463
0.7125366138857464,0.0978918885075768
0.4672141167871473,0.006118256519698717
0.5187708947175805,0.195741218947185
0.1400346710061186,-0.15092782104509003
0.82758260902031,-0.03437481053146252
0.3623684605660664,-0.025176115691139866
0.49052661981078205,-0.016560726843432183
0.292289641814747,0.0977177268610766
0.6417264546412709,0.07956592350373304
0.16053594045641273,-0.05900065317149464
0.3578384043807792,-0.04850033481220262
0.4033942373562128,-0.211309879627174
0.551017319725396,-0.13027112570118538
0.08150531728163285,-0.06262370190829192
0.6590044314265041,0.0749477971791801
0.5765523455799489,0.003996758115464294
0.8262523683824432,0.031021410806634564
0.9370705950878613,0.07612035048456034
0.21556624897612914,0.08336144940642087
0.8163289590694796,-0.0385238798423031
0.1786668055505684,0.012201379388795536
0.129427125341354,-0.06036629222500682
0.6572938022373302,-0.24238609128034438
0.6681557051021128,0.05957443548803909
0.10854138351999182,-0.03392258450344286
0.8049020989673559,0.27519027867659396
0.42977145920609183,-0.18933813551237688
0.8783052980475237,-0.056178248013534327
0.1426807024568111,-0.037227754098218616
0.8652312338252179,-0.024452650567032497
0.9466707925024401,0.07204131683166248
0.8133241422633695,-0.02999093380364437
0.9217410549028311,0.02526733567388717
0.16292380677918197,-0.025851321473526923
0.1379323516708537,-0.07324050577045998
0.8704907495014993,-0.0369535290731734
0.39299609475851927,-0.20331974400041752
0.5975203284828752,0.058518602293509026
0.2089039994612331,0.06701267030537023
0.9195957914229509,0.019364503072952566
0.1270919341413602,-0.03008740175397699
0.22850584942328442,0.10435080445264794
0.6890749720496596,0.0716878946150662
0.20581164181740216,-0.08839978336272375
0.24302059960654962,0.018059115654062985
0.22555968873517482,0.05953107700381216
0.07737299937487013,-0.049487990369789465
0.858703471429465,-0.01852755306697329
0.3161249432651606,-0.33146846817167464
0.4436110895475583,0.13353902928051087
0.5890462120851359,0.07556122948338195
0.2578132644110045,0.02631122764212307
0.125962225877139,-0.018473718001657632
0.874647326256286,0.1437709470300892
0.6220810306291021,0.03234741930568963
0.08811408192799126,-0.11860785065321852
0.3452581964469442,-0.047585089497468924
0.4631688460963968,-0.09383108908772397
0.951844926447295,0.056194654644773134
0.8454496507886923,-0.05894560713690988
0.6981406943823857,0.04019036627331629
0.5936613030769511,0.044993747778352966
0.39478201641947475,-0.25739906282602854
0.9234192489284574,-0.001021719237506491
0.19886431206043242,0.12183252193084715
0.8983121724535572,-0.02541096774547358
0.35889841235356224,-0.1252338068350814
0.5600294219264277,-0.17583291792692968
0.8588831529155716,0.06991078558273
0.6043737278910501,-0.2134820726450236
0.38898580576166875,0.047874854111380705
0.5554974905455554,-0.09579868479481457
0.8437778389782168,-0.0014982151328608584
0.8503214642356592,-0.01714767516637683
0.7864495199349649,0.034892018919612466
0.10524539067139951,-0.0012207147719318218
0.1927098371563316,0.09893981376845853
0.4302562664900328,-0.1590685465029666
0.5108210890161867,-0.04501763012650106
0.9187413111954423,0.050537517791885644
0.654994755430973,-0.21535581460802478
0.6908074789878424,0.0007946836226574439
0.8003542569420905,-0.042129129739171156
0.8798239040767356,0.03193279274209426
0.7085853285368586,0.009618653213243511
