time_sec,raw_pulse,standardized_pulse,participant
0.0,26.9,-0.8772378283677003,gs1
0.011494252873563218,27.4,-0.7987496846767066,gs1
0.022988505747126436,27.7,-0.7516567984621103,gs1
0.034482758620689655,28.2,-0.6731686547711166,gs1
0.04597701149425287,28.7,-0.594680511080123,gs1
0.05747126436781609,29.1,-0.5318899961273277,gs1
0.06896551724137931,29.6,-0.45340185243633396,gs1
0.08045977011494253,29.9,-0.40630896622173823,gs1
0.09195402298850575,30.3,-0.3435184512689429,gs1
0.10344827586206896,30.5,-0.3121231937925456,gs1
0.11494252873563218,30.8,-0.26503030757794926,gs1
0.12643678160919541,30.9,-0.24933267883975088,gs1
0.13793103448275862,30.9,-0.24933267883975088,gs1
0.14942528735632185,30.8,-0.26503030757794926,gs1
0.16091954022988506,30.8,-0.26503030757794926,gs1
0.1724137931034483,30.5,-0.3121231937925456,gs1
0.1839080459770115,30.3,-0.3435184512689429,gs1
0.19540229885057472,30.0,-0.39061133748353927,gs1
0.20689655172413793,29.9,-0.40630896622173823,gs1
0.21839080459770116,30.0,-0.39061133748353927,gs1
0.22988505747126436,30.7,-0.28072793631614823,gs1
0.2413793103448276,32.6,0.017527009709628078,gs1
0.25287356321839083,35.7,0.504153500593789,gs1
0.26436781609195403,40.5,1.257639680027328,gs1
0.27586206896551724,46.0,2.1210092606282585,gs1
0.28735632183908044,51.3,2.952983583752791,gs1
0.2988505747126437,55.3,3.5808887332807404,gs1
0.3103448275862069,55.4,3.596586362018939,gs1
0.3218390804597701,55.4,3.596586362018939,gs1
0.3333333333333333,55.4,3.596586362018939,gs1
0.3448275862068966,55.4,3.596586362018939,gs1
0.3563218390804598,54.1,3.392517188422356,gs1
0.367816091954023,49.0,2.5919381227742204,gs1
0.3793103448275862,43.5,1.72856854217329,gs1
0.39080459770114945,37.8,0.8338037040959616,gs1
0.40229885057471265,32.3,-0.029565876504968797,gs1
0.41379310344827586,27.6,-0.7673544272003087,gs1
0.42528735632183906,24.0,-1.3324690617754633,gs1
0.4367816091954023,21.5,-1.7249097802304318,gs1
0.4482758620689655,19.8,-1.9917694687798102,gs1
0.45977011494252873,19.2,-2.0859552412090028,gs1
0.47126436781609193,19.4,-2.0545599837326054,gs1
0.4827586206896552,20.0,-1.9603742113034128,gs1
0.4942528735632184,21.3,-1.7563050377068292,gs1
0.5057471264367817,23.0,-1.4894453491574506,gs1
0.5172413793103449,24.9,-1.191190403131675,gs1
0.5287356321839081,27.0,-0.8615401996295013,gs1
0.5402298850574713,29.2,-0.5161923673891292,gs1
0.5517241379310345,31.1,-0.21793742136335295,gs1
0.5632183908045977,33.1,0.09601515340062175,gs1
0.5747126436781609,34.4,0.3000843269972049,gs1
0.5862068965517241,35.6,0.48845587185559014,gs1
0.5977011494252874,35.9,0.5355487580701859,gs1
0.6091954022988506,36.0,0.5512463868083849,gs1
0.6206896551724138,35.8,0.519851129331987,gs1
0.632183908045977,35.1,0.4099677281645965,gs1
0.6436781609195402,34.0,0.23729381204441016,gs1
0.6551724137931034,32.8,0.04892226718602488,gs1
0.6666666666666666,31.5,-0.15514690641055823,gs1
0.6781609195402298,30.2,-0.3592160800071419,gs1
0.6896551724137931,29.0,-0.5475876248655266,gs1
0.7011494252873564,28.0,-0.704563912247514,gs1
0.7126436781609196,26.9,-0.8772378283677003,gs1
0.7241379310344828,26.5,-0.940028343320495,gs1
0.735632183908046,26.0,-1.0185164870114887,gs1
0.7471264367816092,25.8,-1.049911744487886,gs1
0.7586206896551724,25.7,-1.065609373226085,gs1
0.7701149425287356,25.8,-1.049911744487886,gs1
0.7816091954022989,26.3,-0.9714236007968924,gs1
0.7931034482758621,26.6,-0.9243307145822961,gs1
0.8045977011494253,27.0,-0.8615401996295013,gs1
0.8160919540229885,27.4,-0.7987496846767066,gs1
0.8275862068965517,27.8,-0.7359591697239113,gs1
0.8390804597701149,28.5,-0.6260757685565203,gs1
0.8505747126436781,28.9,-0.5632852536037256,gs1
0.8620689655172413,29.3,-0.5004947386509303,gs1
0.8735632183908046,29.7,-0.4377042236981356,gs1
0.8850574712643678,30.0,-0.39061133748353927,gs1
0.896551724137931,30.3,-0.3435184512689429,gs1
0.9080459770114943,30.7,-0.28072793631614823,gs1
0.9195402298850575,30.9,-0.24933267883975088,gs1
0.9310344827586207,30.9,-0.24933267883975088,gs1
0.9425287356321839,31.1,-0.21793742136335295,gs1
0.9540229885057471,30.9,-0.24933267883975088,gs1
0.9655172413793104,30.9,-0.24933267883975088,gs1
0.9770114942528736,30.6,-0.29642556505434664,gs1
0.9885057471264368,30.5,-0.3121231937925456,gs1
1.0,30.1,-0.3749137087453403,gs1
1.0114942528735633,30.1,-0.3749137087453403,gs1
1.0229885057471264,30.1,-0.3749137087453403,gs1
1.0344827586206897,30.5,-0.3121231937925456,gs1
1.0459770114942528,31.9,-0.09235639145776352,gs1
1.0574712643678161,34.7,0.3471772132118017,gs1
1.0689655172413792,38.8,0.990779991477949,gs1
1.0804597701149425,43.7,1.759963799649688,gs1
1.0919540229885059,49.1,2.6076357515124196,gs1
1.103448275862069,53.9,3.3611219309459583,gs1
1.1149425287356323,55.3,3.5808887332807404,gs1
1.1264367816091954,55.4,3.596586362018939,gs1
1.1379310344827587,55.4,3.596586362018939,gs1
1.1494252873563218,55.3,3.5808887332807404,gs1
1.160919540229885,54.4,3.439610074636952,gs1
1.1724137931034482,49.8,2.71751915267981,gs1
1.1839080459770115,44.4,1.8698472008170783,gs1
1.1954022988505748,38.7,0.9750823627397511,gs1
1.206896551724138,33.4,0.1431080396152175,gs1
1.2183908045977012,28.5,-0.6260757685565203,gs1
1.2298850574712643,24.6,-1.2382832893462707,gs1
1.2413793103448276,21.6,-1.7092121514922327,gs1
1.2528735632183907,19.9,-1.9760718400416117,gs1
1.264367816091954,19.2,-2.0859552412090028,gs1
1.2758620689655173,19.1,-2.101652869947201,gs1
1.2873563218390804,19.6,-2.0231647262562076,gs1
1.2988505747126438,20.9,-1.8190955526596244,gs1
1.3103448275862069,22.4,-1.5836311215866434,gs1
1.3218390804597702,24.9,-1.191190403131675,gs1
1.3333333333333333,27.0,-0.8615401996295013,gs1
1.3448275862068966,29.3,-0.5004947386509303,gs1
1.3563218390804597,31.5,-0.15514690641055823,gs1
1.367816091954023,33.5,0.15880566835341647,gs1
1.3793103448275863,35.1,0.4099677281645965,gs1
1.3908045977011494,36.4,0.6140369017611795,gs1
1.4022988505747127,36.9,0.6925250454521733,gs1
1.4137931034482758,37.1,0.7239203029285711,gs1
1.4252873563218391,36.7,0.6611297879757765,gs1
1.4367816091954022,35.9,0.5355487580701859,gs1
1.4482758620689655,34.8,0.3628748419499996,gs1
1.4597701149425288,33.4,0.1431080396152175,gs1
1.471264367816092,32.1,-0.0609611339813656,gs1
1.4827586206896552,30.6,-0.29642556505434664,gs1
1.4942528735632183,29.4,-0.4847971099127319,gs1
1.5057471264367817,28.2,-0.6731686547711166,gs1
1.5172413793103448,27.3,-0.8144473134149051,gs1
1.528735632183908,26.6,-0.9243307145822961,gs1
1.5402298850574712,26.2,-0.9871212295350913,gs1
1.5517241379310345,25.9,-1.0342141157496876,gs1
1.5632183908045978,26.0,-1.0185164870114887,gs1
1.5747126436781609,26.1,-1.0028188582732898,gs1
1.5862068965517242,26.3,-0.9714236007968924,gs1
1.5977011494252873,26.8,-0.8929354571058987,gs1
1.6091954022988506,27.1,-0.8458425708913023,gs1
1.6206896551724137,27.6,-0.7673544272003087,gs1
1.632183908045977,28.1,-0.688866283509315,gs1
1.6436781609195403,28.5,-0.6260757685565203,gs1
1.6551724137931034,29.0,-0.5475876248655266,gs1
1.6666666666666667,29.4,-0.4847971099127319,gs1
1.6781609195402298,29.7,-0.4377042236981356,gs1
1.6896551724137931,30.0,-0.39061133748353927,gs1
1.7011494252873562,30.2,-0.3592160800071419,gs1
1.7126436781609196,30.5,-0.3121231937925456,gs1
