participant,mean_before,std_before,mean_after,std_after
gs1,32.4883461317506,6.370388908272445,1.4878604555360266e-15,1.0
gs2,33.25455886370599,4.690127552121804,-1.4915924814422462e-15,1.0
hww,33.28038324089058,3.506070346293899,-3.826539294893062e-15,1.0
jz,33.246875337836656,6.184221453074921,6.362463667233298e-16,1.0
lx1,32.68100853030568,3.847021809201911,-4.67981862627683e-15,1.0
