epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,best_epoch,best_val_loss
1,3.5613949298858643,1.5232349634170532,0.2073579281568527,0.224465861916542,,24,0.0634378567337989
2,0.8928475975990295,0.5222848057746887,0.1754199266433715,0.2421297132968902,,24,0.0634378567337989
3,0.3125319480895996,0.2291095852851867,0.1543716192245483,0.2372657209634781,,24,0.0634378567337989
4,0.1383187770843505,0.1536660939455032,0.1460055559873581,0.2550481855869293,,24,0.0634378567337989
5,0.0840704515576362,0.1249792873859405,0.1443178206682205,0.2396926283836364,,24,0.0634378567337989
6,0.0624375008046627,0.0995300039649009,0.1391822397708892,0.2155188173055648,,24,0.0634378567337989
7,0.0516989231109619,0.0822996497154235,0.1342436522245407,0.2033758908510208,,24,0.0634378567337989
8,0.0502590499818325,0.0977060049772262,0.1342597752809524,0.209426924586296,,24,0.0634378567337989
9,0.0461051911115646,0.1037604734301567,0.1328325867652893,0.2297727316617965,,24,0.0634378567337989
10,0.0425124391913414,0.0890810787677764,0.12955142557621,0.209621787071228,,24,0.0634378567337989
11,0.0423243418335914,0.0987162813544273,0.1319312155246734,0.2282438725233078,,24,0.0634378567337989
12,0.040102370083332,0.0825450345873832,0.1290367394685745,0.212539717555046,,24,0.0634378567337989
13,0.0400352627038955,0.0745825469493866,0.1298115849494934,0.207507237792015,,24,0.0634378567337989
14,0.0410872176289558,0.0799986124038696,0.130618467926979,0.1980937719345092,,24,0.0634378567337989
15,0.0415277704596519,0.072580948472023,0.1314008384943008,0.1970493495464325,,24,0.0634378567337989
16,0.0411373861134052,0.0911261141300201,0.132377341389656,0.2116051614284515,,24,0.0634378567337989
17,0.0389177501201629,0.0723455846309661,0.12852343916893,0.2022094577550888,,24,0.0634378567337989
18,0.0393363274633884,0.0879891216754913,0.1293461918830871,0.2174878716468811,,24,0.0634378567337989
19,0.0402529910206794,0.0752920880913734,0.1296709775924682,0.1939147114753723,,24,0.0634378567337989
20,0.039359550923109,0.0822225958108902,0.1285281479358673,0.204025313258171,,24,0.0634378567337989
21,0.0373323112726211,0.0815321952104568,0.1247658282518386,0.2124568819999694,,24,0.0634378567337989
22,0.0402096509933471,0.073049746453762,0.127768263220787,0.2030865401029586,,24,0.0634378567337989
23,0.0388405732810497,0.0804167687892913,0.1278867870569229,0.2089499533176422,,24,0.0634378567337989
24,0.040576945990324,0.0634378567337989,0.1306304335594177,0.1854998469352722,,24,0.0634378567337989
25,0.0390427000820636,0.0800991132855415,0.1291794329881668,0.2051822692155838,,24,0.0634378567337989
26,0.0405467301607131,0.0751724913716316,0.1307326853275299,0.1957344710826873,,24,0.0634378567337989
27,0.0398139171302318,0.0787137597799301,0.1277792751789093,0.2067178338766098,,24,0.0634378567337989
28,0.0400931201875209,0.0906910523772239,0.1306735724210739,0.2178835421800613,,24,0.0634378567337989
29,0.037725243717432,0.0846613422036171,0.1279578357934951,0.2114942371845245,,24,0.0634378567337989
30,0.0379061289131641,0.0827745869755745,0.1263193786144256,0.1972433775663375,,24,0.0634378567337989
31,0.0406598076224327,0.0761843174695968,0.131638690829277,0.1979134976863861,,24,0.0634378567337989
32,0.0387088507413864,0.0882904157042503,0.1315174102783203,0.222297117114067,,24,0.0634378567337989
33,0.0330012515187263,0.0909520387649536,0.1220418289303779,0.2342506200075149,,24,0.0634378567337989
34,0.0317704491317272,0.0733753070235252,0.1214440613985061,0.2093438059091568,,24,0.0634378567337989
35,0.0315625593066215,0.0925918519496917,0.121158592402935,0.2290332913398742,,24,0.0634378567337989
36,0.0300724543631076,0.1102309599518776,0.1185583993792533,0.2480217367410659,,24,0.0634378567337989
37,0.031105350703001,0.115684300661087,0.1210689842700958,0.2613047957420349,,24,0.0634378567337989
38,0.0327916368842124,0.070294588804245,0.1234915778040885,0.1974092423915863,,24,0.0634378567337989
39,0.029508002102375,0.103369802236557,0.1175230890512466,0.2435212135314941,,24,0.0634378567337989
40,0.0310796611011028,0.0897095426917076,0.121042251586914,0.2242063879966735,,24,0.0634378567337989
41,0.0293607786297798,0.082093521952629,0.1173990294337272,0.215123176574707,,24,0.0634378567337989
42,0.0276923384517431,0.0896551012992858,0.114019751548767,0.2272441685199737,,24,0.0634378567337989
43,0.0268466770648956,0.0846753269433975,0.1133372858166694,0.2216212153434753,,24,0.0634378567337989
44,0.0260790288448333,0.0895317122340202,0.1113578602671623,0.2278068214654922,,24,0.0634378567337989
