epoch,train_loss,val_loss,train_mae,val_mae,learning_rate
1,3.5613949298858643,1.5232349634170532,0.20735792815685272,0.22446586191654205,
2,0.8928475975990295,0.5222848057746887,0.17541992664337158,0.24212971329689026,
3,0.3125319480895996,0.22910958528518677,0.15437161922454834,0.2372657209634781,
4,0.13831877708435059,0.15366609394550323,0.1460055559873581,0.2550481855869293,
5,0.08407045155763626,0.12497928738594055,0.14431782066822052,0.23969262838363647,
6,0.062437500804662704,0.09953000396490097,0.13918223977088928,0.21551881730556488,
7,0.051698923110961914,0.08229964971542358,0.1342436522245407,0.2033758908510208,
8,0.050259049981832504,0.09770600497722626,0.13425977528095245,0.20942692458629608,
9,0.046105191111564636,0.10376047343015671,0.1328325867652893,0.22977273166179657,
10,0.0425124391913414,0.08908107876777649,0.12955142557621002,0.20962178707122803,
11,0.04232434183359146,0.09871628135442734,0.13193121552467346,0.2282438725233078,
12,0.04010237008333206,0.08254503458738327,0.12903673946857452,0.21253971755504608,
13,0.04003526270389557,0.0745825469493866,0.1298115849494934,0.20750723779201508,
14,0.04108721762895584,0.07999861240386963,0.13061846792697906,0.19809377193450928,
15,0.04152777045965195,0.07258094847202301,0.13140083849430084,0.1970493495464325,
16,0.04113738611340523,0.09112611413002014,0.13237734138965607,0.21160516142845154,
17,0.038917750120162964,0.07234558463096619,0.12852343916893005,0.2022094577550888,
18,0.03933632746338844,0.08798912167549133,0.12934619188308716,0.2174878716468811,
19,0.040252991020679474,0.07529208809137344,0.12967097759246826,0.19391471147537231,
20,0.039359550923109055,0.0822225958108902,0.1285281479358673,0.20402531325817108,
21,0.037332311272621155,0.08153219521045685,0.12476582825183868,0.21245688199996948,
22,0.04020965099334717,0.07304974645376205,0.12776826322078705,0.20308654010295868,
23,0.03884057328104973,0.08041676878929138,0.1278867870569229,0.2089499533176422,
24,0.04057694599032402,0.06343785673379898,0.13063043355941772,0.18549984693527222,
25,0.039042700082063675,0.08009911328554153,0.1291794329881668,0.2051822692155838,
26,0.040546730160713196,0.07517249137163162,0.1307326853275299,0.19573447108268738,
27,0.03981391713023186,0.07871375977993011,0.1277792751789093,0.2067178338766098,
28,0.04009312018752098,0.09069105237722397,0.1306735724210739,0.21788354218006134,
29,0.03772524371743202,0.0846613422036171,0.12795783579349518,0.21149423718452454,
30,0.03790612891316414,0.0827745869755745,0.12631937861442566,0.19724337756633759,
31,0.04065980762243271,0.07618431746959686,0.13163869082927704,0.1979134976863861,
32,0.038708850741386414,0.08829041570425034,0.1315174102783203,0.22229711711406708,
33,0.03300125151872635,0.09095203876495361,0.12204182893037796,0.23425062000751495,
34,0.03177044913172722,0.07337530702352524,0.12144406139850616,0.2093438059091568,
35,0.03156255930662155,0.09259185194969177,0.12115859240293503,0.22903329133987427,
36,0.03007245436310768,0.1102309599518776,0.11855839937925339,0.24802173674106598,
37,0.031105350703001022,0.11568430066108704,0.12106898427009583,0.2613047957420349,
38,0.032791636884212494,0.070294588804245,0.12349157780408859,0.1974092423915863,
39,0.02950800210237503,0.103369802236557,0.11752308905124664,0.24352121353149414,
40,0.03107966110110283,0.08970954269170761,0.12104225158691406,0.22420638799667358,
41,0.029360778629779816,0.08209352195262909,0.11739902943372726,0.21512317657470703,
42,0.027692338451743126,0.08965510129928589,0.11401975154876709,0.22724416851997375,
43,0.02684667706489563,0.08467532694339752,0.11333728581666946,0.22162121534347534,
44,0.026079028844833374,0.08953171223402023,0.11135786026716232,0.22780682146549225,
